machine,os,utc-timestamp,app,peep_ms,peep_cycles,peep_size,nopeep_ms,nopeep_cycles,nopeep_size,clock_hz
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,trwold,694,277537692,6144,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,ts,2,753699,5760,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,ts32,1,46720,5888,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tscanf,4,230854,8960,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tsetjmp,1,24148,2176,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tsprintf,1,170050,3584,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstackov,1,51498,2176,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstdc,1,81543,1920,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstdlib,1,112289,7040,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstfield,1,29058,3072,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstr,2336,934020829,9216,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstr2,1,200730,3328,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstr3,1,39303,4352,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstrconv,1,595475,13056,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstretst,1,452550,3968,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstri2,1,192048,2944,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstrify,1,180968,2432,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstring,936,374480205,6656,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstruct,1,124090,2560,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstructi,1,242359,3328,,,,400000000
